tensor,group,layer,expert,packed_expert_count,shape,dtype,numel,bytes,shard
model.layers.8.mlp.gate_proj.weight,dense_mlp,8.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.8.mlp.up_proj.weight,dense_mlp,8.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.8.post_attention_layernorm.weight,norm,8.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.8.self_attn.k_proj.bias,attention,8.0,,,128,bfloat16,128,256,model.safetensors
model.layers.8.self_attn.k_proj.weight,attention,8.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.8.self_attn.o_proj.weight,attention,8.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.8.self_attn.q_proj.bias,attention,8.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.8.self_attn.q_proj.weight,attention,8.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.8.self_attn.v_proj.bias,attention,8.0,,,128,bfloat16,128,256,model.safetensors
model.layers.8.self_attn.v_proj.weight,attention,8.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.9.input_layernorm.weight,norm,9.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.9.mlp.down_proj.weight,dense_mlp,9.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.9.mlp.gate_proj.weight,dense_mlp,9.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.9.mlp.up_proj.weight,dense_mlp,9.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.9.post_attention_layernorm.weight,norm,9.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.9.self_attn.k_proj.bias,attention,9.0,,,128,bfloat16,128,256,model.safetensors
model.layers.9.self_attn.k_proj.weight,attention,9.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.9.self_attn.o_proj.weight,attention,9.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.9.self_attn.q_proj.bias,attention,9.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.9.self_attn.q_proj.weight,attention,9.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.9.self_attn.v_proj.bias,attention,9.0,,,128,bfloat16,128,256,model.safetensors
model.layers.9.self_attn.v_proj.weight,attention,9.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.norm.weight,norm,,,,896,bfloat16,896,1792,model.safetensors
