tensor,group,layer,expert,shape,dtype,numel,bytes,shard
model.layers.5.self_attn.o_proj.weight,attention,5.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.5.self_attn.q_norm.weight,attention,5.0,,128,bfloat16,128,256,model.safetensors
model.layers.5.self_attn.q_proj.weight,attention,5.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.5.self_attn.v_proj.weight,attention,5.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.6.input_layernorm.weight,norm,6.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.6.mlp.down_proj.weight,dense_mlp,6.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.6.mlp.gate_proj.weight,dense_mlp,6.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.6.mlp.up_proj.weight,dense_mlp,6.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.6.post_attention_layernorm.weight,attention,6.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.6.self_attn.k_norm.weight,attention,6.0,,128,bfloat16,128,256,model.safetensors
model.layers.6.self_attn.k_proj.weight,attention,6.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.6.self_attn.o_proj.weight,attention,6.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.6.self_attn.q_norm.weight,attention,6.0,,128,bfloat16,128,256,model.safetensors
model.layers.6.self_attn.q_proj.weight,attention,6.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.6.self_attn.v_proj.weight,attention,6.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.7.input_layernorm.weight,norm,7.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.7.mlp.down_proj.weight,dense_mlp,7.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.7.mlp.gate_proj.weight,dense_mlp,7.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.7.mlp.up_proj.weight,dense_mlp,7.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.7.post_attention_layernorm.weight,attention,7.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.7.self_attn.k_norm.weight,attention,7.0,,128,bfloat16,128,256,model.safetensors
model.layers.7.self_attn.k_proj.weight,attention,7.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.7.self_attn.o_proj.weight,attention,7.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.7.self_attn.q_norm.weight,attention,7.0,,128,bfloat16,128,256,model.safetensors
model.layers.7.self_attn.q_proj.weight,attention,7.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.7.self_attn.v_proj.weight,attention,7.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.8.input_layernorm.weight,norm,8.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.8.mlp.down_proj.weight,dense_mlp,8.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.8.mlp.gate_proj.weight,dense_mlp,8.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.8.mlp.up_proj.weight,dense_mlp,8.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.8.post_attention_layernorm.weight,attention,8.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.8.self_attn.k_norm.weight,attention,8.0,,128,bfloat16,128,256,model.safetensors
model.layers.8.self_attn.k_proj.weight,attention,8.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.8.self_attn.o_proj.weight,attention,8.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.8.self_attn.q_norm.weight,attention,8.0,,128,bfloat16,128,256,model.safetensors
model.layers.8.self_attn.q_proj.weight,attention,8.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.8.self_attn.v_proj.weight,attention,8.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.9.input_layernorm.weight,norm,9.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.9.mlp.down_proj.weight,dense_mlp,9.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.9.mlp.gate_proj.weight,dense_mlp,9.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.9.mlp.up_proj.weight,dense_mlp,9.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.9.post_attention_layernorm.weight,attention,9.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.9.self_attn.k_norm.weight,attention,9.0,,128,bfloat16,128,256,model.safetensors
model.layers.9.self_attn.k_proj.weight,attention,9.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.9.self_attn.o_proj.weight,attention,9.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.9.self_attn.q_norm.weight,attention,9.0,,128,bfloat16,128,256,model.safetensors
model.layers.9.self_attn.q_proj.weight,attention,9.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.9.self_attn.v_proj.weight,attention,9.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.norm.weight,norm,,,1024,bfloat16,1024,2048,model.safetensors
